id,num,NAME,lat,lng
"7819475","498368125",SAFARI PIZZA,39.954900,-83.231000
"6053196","427338894",PAS PLACE LLC,39.809000,-83.171700
"10438694","705065854",SUBWAY,39.826000,-83.140500
"470568","137521522",JOSEPPI'S PIZZA,39.952300,-83.128700
"470573","137521712",LONG JOHN SILVER'S,39.952400,-83.127000
"470576","137522082",OLD TRAIL INN,39.954000,-83.122000
"470577","137522173",PIZZA HUT,39.952100,-83.131600
"470604","137524690",CATTLEMAN'S PIZZA,39.853800,-83.180800
"471235","137564142",COURTVIEW RESTAURANT,39.830400,-83.153400
"473390","137776415",ARBY'S,39.951900,-83.127000
"473433","137780441",DON GINO'S PIZZA,39.951400,-83.141400
"473458","137782397",RED LOBSTER,39.920300,-83.125200
"900900","179076823",WAFFLE HOUSE,39.952200,-83.123100
"948881","205826548",WHITE CASTLE,39.919400,-83.123000
"960409","206725624",PAPA JOHN'S PIZZA,39.952400,-83.132700
"960410","206725665",SUBWAY,39.951800,-83.146000
"1062389","215168949",NEW FORTUNE CHINA,39.953400,-83.130700
"1171385","224189225",SUBWAY,39.930200,-83.144700
"1484296","252065115",CHIPOTLE MEXICAN GRILL,39.919900,-83.126400
"1515891","254582810",DRAGON HOUSE ONE INC,39.931000,-83.158700
"1515926","254586621",MC DONALD'S,39.920000,-83.125800
"1516119","254606528",DOMINO'S,39.951300,-83.151700
"1798656","310225164",MC DONALD'S,39.952200,-83.124000
"1798703","310231063",BOB EVANS RESTAURANT,39.920300,-83.118000
"1867645","316617257",FLYERS PIZZA & SUBS,39.931500,-83.146600
"2095249","375231271",WOK WOK KITCHEN,39.930700,-83.143700
"2208193","386765556",TRES POTRILLOS,39.930600,-83.158300
"2208252","386769889",ASIAN BUFFET OF ZHANG INC,39.951200,-83.153700
"2208531","386813943",KFC,39.919700,-83.127200
"2625883","400815786",I & K PIZZARIA,39.941200,-83.126600
"2713339","401597071",KROGER DELI,39.951600,-83.155900
"2714525","401618108",KROGER DELI,39.920200,-83.120900
"3077823","403086989",JMSM,39.933700,-83.177700
"3183243","403510899",LOS GALAPAGOS RESTAURANT,39.944600,-83.124200
"3873563","408458241",LST BARTEL ASSOC INC,39.945400,-83.134400
"3969636","409262369",SANTINOS PIZZERIA,39.917600,-83.121100
"4303030","414393211",SLOOPY'S PUB,39.951200,-83.153700
"4303487","414395763",WING STREET,39.952100,-83.131600
"5913165","426739314",DONATOS PIZZA,39.943900,-83.141300
"6324966","433173758",LONG JOHN SILVER'S,39.919700,-83.127200
"6911602","436731031",RESTAURANT 7 MARES LLC,39.941400,-83.142100
"6922700","436829177",MC DONALD'S,39.952700,-83.130700
"7128218","439291845",MARISCOS 7 MARES RESTAURANT,39.941400,-83.142100
"7578905","476501671",J P'S BARBECUE RIBS,39.908600,-83.144300
"7578907","476501879",WENDY'S,39.951100,-83.147000
"8225036","542947130",O'CHARLEY'S,39.920800,-83.118700
"8246585","545233371",ARBY'S,39.920600,-83.124300
"8258721","546393190",O'TOOLE'S IRISH PUB & GRILL,39.952300,-83.129500
"8259422","546487596",APPLEBEE'S,39.921200,-83.121800
